"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"345",NA,"GLMM","5"," 4","0.1","1.5",0.41,0.998,NA
"346",NA,"GLMM","5"," 4","0.1","1.5",0.42,0.998,NA
"347",NA,"GLMM","5"," 4","0.1","1.5",0.43,0.998,NA
"348",NA,"GLMM","5"," 4","0.1","1.5",0.44,0.998,NA
"349",NA,"GLMM","5"," 4","0.1","1.5",0.45,0.998,NA
"350",NA,"GLMM","5"," 4","0.1","1.5",0.46,0.998,NA
"351",NA,"GLMM","5"," 4","0.1","1.5",0.47,0.998,NA
"352",NA,"GLMM","5"," 4","0.1","1.5",0.48,0.998,NA
"353",NA,"GLMM","5"," 4","0.1","1.5",0.49,0.998,NA
"354",NA,"GLMM","5"," 4","0.1","1.5",0.5,0.998,NA
"355",NA,"GLMM","5"," 4","0.1","1.5",0.51,0.998,NA
"356",NA,"GLMM","5"," 4","0.1","1.5",0.52,0.998,NA
"357",NA,"GLMM","5"," 4","0.1","1.5",0.53,0.998,NA
"358",NA,"GLMM","5"," 4","0.1","1.5",0.54,0.998,NA
"359",NA,"GLMM","5"," 4","0.1","1.5",0.55,0.998,NA
"360",NA,"GLMM","5"," 4","0.1","1.5",0.56,0.998,NA
"361",NA,"GLMM","5"," 4","0.1","1.5",0.57,0.998,NA
"362",NA,"GLMM","5"," 4","0.1","1.5",0.58,0.998,NA
"363",NA,"GLMM","5"," 4","0.1","1.5",0.59,0.998,NA
"364",NA,"GLMM","5"," 4","0.1","1.5",0.6,0.998,NA
"365",NA,"GLMM","5"," 4","0.1","1.5",0.61,0.998,NA
"366",NA,"GLMM","5"," 4","0.1","1.5",0.62,0.998,NA
"367",NA,"GLMM","5"," 4","0.1","1.5",0.63,0.998,NA
"368",NA,"GLMM","5"," 4","0.1","1.5",0.64,0.998,NA
"369",NA,"GLMM","5"," 4","0.1","1.5",0.65,0.998,NA
"370",NA,"GLMM","5"," 4","0.1","1.5",0.66,0.998,NA
