"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr"
"241","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.38,0.63727959697733
"242","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.39,0.63727959697733
"243","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.4,0.639798488664987
"244","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.41,0.639798488664987
"245","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.42,0.639798488664987
"246","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.43,0.639798488664987
"247","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.44,0.639798488664987
"248","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.45,0.639798488664987
"249","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.46,0.639798488664987
"250","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.47,0.639798488664987
"251","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.48,0.639798488664987
"252","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.49,0.639798488664987
"253","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.5,0.639798488664987
"254","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.51,0.639798488664987
"255","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.52,0.639798488664987
"256","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.53,0.639798488664987
"257","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.54,0.639798488664987
"258","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.55,0.639798488664987
"259","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.56,0.639798488664987
"260","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.57,0.639798488664987
"261","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.58,0.639798488664987
"262","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.59,0.639798488664987
"263","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.6,0.639798488664987
"264","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.61,0.639798488664987
"265","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.62,0.639798488664987
"266","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.63,0.639798488664987
"267","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.64,0.639798488664987
"268","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.65,0.639798488664987
"269","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.66,0.639798488664987
"270","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.67,0.639798488664987
"271","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.68,0.639798488664987
"272","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.69,0.639798488664987
"273","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.7,0.639798488664987
"274","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.71,0.639798488664987
"275","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.72,0.639798488664987
"276","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.73,0.639798488664987
"277","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.74,0.639798488664987
"278","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.75,0.639798488664987
"279","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.76,0.639798488664987
"280","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.77,0.639798488664987
"281","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.78,0.639798488664987
"282","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.79,0.639798488664987
"283","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.8,0.639798488664987
"284","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.81,0.639798488664987
"285","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.82,0.639798488664987
"286","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.83,0.639798488664987
"287","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.84,0.639798488664987
"288","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.85,0.639798488664987
"289","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.86,0.639798488664987
"290","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.87,0.639798488664987
"291","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.88,0.639798488664987
"292","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.89,0.639798488664987
"293","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.9,0.639798488664987
"294","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.91,0.639798488664987
"295","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.92,0.639798488664987
"296","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.93,0.639798488664987
"297","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.94,0.639798488664987
"298","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.95,0.639798488664987
"299","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.96,0.639798488664987
"300","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.97,0.639798488664987
"301","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.98,0.639798488664987
"302","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.99,0.639798488664987
"303","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",1,1
"304","DESeq2","circexplorer2_star","5"," 4","0.1","1.5",0,0
"305","DESeq2","circexplorer2_star","5"," 4","0.1","1.5",0.01,0.512007504690432
"306","DESeq2","circexplorer2_star","5"," 4","0.1","1.5",0.02,0.541756097560976
"307","DESeq2","circexplorer2_star","5"," 4","0.1","1.5",0.03,0.572682926829268
"308","DESeq2","circexplorer2_star","5"," 4","0.1","1.5",0.04,0.587195121951219
