"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"167","edgeR-robust",0,994,994,0.88430583501006,0.987212276214834,0.11569416498994,0.990833973036494,"12","dcc","NB","5","0.1","1.5","169908413"
"168","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1,"12","dcc","NB","5","0.1","1.5","169908413"
"169","DESeq2",0,993,993,0.882175226586103,0.994438883327772,0.0539956803455724,0.994203277911457,"13","dcc","NB","5","0.1","1.5","146247332"
"170","voom",0,993,993,0.877139979859013,0.993993993993994,0.0583783783783784,0.991131222976352,"13","dcc","NB","5","0.1","1.5","146247332"
"171","edgeR-robust",0,993,993,0.891238670694864,0.985541096652208,0.12807881773399,0.989270405013939,"13","dcc","NB","5","0.1","1.5","146247332"
"172","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,0.999999111111111,"13","dcc","NB","5","0.1","1.5","146247332"
"173","DESeq2",0,988,988,0.837044534412955,0.996883348174533,0.0327485380116959,0.993767484975537,"14","dcc","NB","5","0.1","1.5","  5930714"
"174","voom",0,988,988,0.84412955465587,0.996772039180766,0.033603707995365,0.991387804590079,"14","dcc","NB","5","0.1","1.5","  5930714"
"175","edgeR-robust",0,988,988,0.848178137651822,0.990093499554764,0.0960086299892125,0.989015109181953,"14","dcc","NB","5","0.1","1.5","  5930714"
"176","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1,"14","dcc","NB","5","0.1","1.5","  5930714"
"177","DESeq2",0,996,996,0.842369477911647,0.996554024010671,0.035632183908046,0.993800234285294,"15","dcc","NB","5","0.1","1.5"," 29528105"
"178","voom",0,996,996,0.860441767068273,0.996109381947532,0.039237668161435,0.991983831278866,"15","dcc","NB","5","0.1","1.5"," 29528105"
"179","edgeR-robust",0,996,996,0.853413654618474,0.989773232547799,0.0976645435244161,0.989291202158562,"15","dcc","NB","5","0.1","1.5"," 29528105"
"180","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,0.999999111111111,"15","dcc","NB","5","0.1","1.5"," 29528105"
"181","DESeq2",0,990,990,0.844444444444444,0.996328846367783,0.0379746835443038,0.995200531289082,"16","dcc","NB","5","0.1","1.5","137163161"
"182","voom",0,990,990,0.857575757575758,0.997218823005896,0.028604118993135,0.994623732036126,"16","dcc","NB","5","0.1","1.5","137163161"
"183","edgeR-robust",0,990,990,0.867676767676768,0.989654021581933,0.0976890756302521,0.991483361819328,"16","dcc","NB","5","0.1","1.5","137163161"
"184","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"16","dcc","NB","5","0.1","1.5","137163161"
"185","DESeq2",0,990,990,0.853535353535353,0.99644167685978,0.0364880273660205,0.994508242662364,"17","dcc","NB","5","0.1","1.5"," 65119093"
"186","voom",0,990,990,0.872727272727273,0.996886467252307,0.031390134529148,0.992053920726217,"17","dcc","NB","5","0.1","1.5"," 65119093"
"187","edgeR-robust",0,990,990,0.867676767676768,0.987768264205493,0.113519091847265,0.989875739492112,"17","dcc","NB","5","0.1","1.5"," 65119093"
"188","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1,"17","dcc","NB","5","0.1","1.5"," 65119093"
"189","DESeq2",0,993,993,0.847935548841893,0.99632966299633,0.0377142857142857,0.995059454665587,"18","dcc","NB","5","0.1","1.5"," 60991469"
"190","voom",0,993,993,0.867069486404834,0.996107218329441,0.0390625,0.993744499786796,"18","dcc","NB","5","0.1","1.5"," 60991469"
"191","edgeR-robust",0,993,993,0.860020140986908,0.989878767656545,0.0962962962962963,0.991162528759036,"18","dcc","NB","5","0.1","1.5"," 60991469"
