"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"101","voom",0,408,408,0.352941176470588,0.99758064516129,0.0588235294117647,0.904333359687962," 4","dcc","NB","5","0.1","1.5","125151166"
"102","edgeR-robust",0,408,408,0.338235294117647,0.999193548387097,0.0212765957446809,0.894521202298124," 4","dcc","NB","5","0.1","1.5","125151166"
"103","DESeq2",0.562423350502821,402,402,0.48207171314741,0.999347684279191,0.00819672131147541,0.72305242495008," 5","dcc","NB","5","0.1","1.5","151418905"
"104","voom",0,402,402,0.348258706467662,0.996734693877551,0.0789473684210526,0.90176464615697," 5","dcc","NB","5","0.1","1.5","151418905"
"105","edgeR-robust",0,402,402,0.333333333333333,0.99891156462585,0.0289855072463768,0.90371374420415," 5","dcc","NB","5","0.1","1.5","151418905"
"106","DESeq2",0.6396771037182,415,415,0.557603686635945,0.996019108280255,0.0396825396825397,0.674064731564428," 6","dcc","NB","5","0.1","1.5","106255048"
"107","voom",0,415,415,0.325301204819277,0.996460658861966,0.0878378378378378,0.887338080883294," 6","dcc","NB","5","0.1","1.5","106255048"
"108","edgeR-robust",0,415,415,0.313253012048193,0.998366457936292,0.0441176470588235,0.887771723977314," 6","dcc","NB","5","0.1","1.5","106255048"
"109","DESeq2",0.62059686888454,424,424,0.557851239669422,0.993124522536287,0.0625,0.704280750494356," 7","dcc","NB","5","0.1","1.5","197329382"
"110","voom",0,424,424,0.35377358490566,0.994541484716157,0.117647058823529,0.900468350910439," 7","dcc","NB","5","0.1","1.5","197329382"
"111","edgeR-robust",0,424,424,0.344339622641509,0.995360262008734,0.104294478527607,0.897947649748704," 7","dcc","NB","5","0.1","1.5","197329382"
"112","DESeq2",0.601062545278918,404,404,0.442553191489362,0.99788285109386,0.0280373831775701,0.704756025508893," 8","dcc","NB","5","0.1","1.5"," 58305687"
"113","voom",0,404,404,0.314356435643564,0.997591651056998,0.0661764705882353,0.909626970858713," 8","dcc","NB","5","0.1","1.5"," 58305687"
"114","edgeR-robust",0,404,404,0.324257425742574,0.998394434037998,0.0437956204379562,0.901510384514502," 8","dcc","NB","5","0.1","1.5"," 58305687"
"115","DESeq2",0.620284174424302,417,417,0.479820627802691,0.995478522984175,0.0530973451327434,0.674480879143888," 9","dcc","NB","5","0.1","1.5","136385172"
"116","voom",0,417,417,0.323741007194245,0.995088676671214,0.117647058823529,0.893792469435094," 9","dcc","NB","5","0.1","1.5","136385172"
"117","edgeR-robust",0,417,417,0.328537170263789,0.99699863574352,0.0743243243243243,0.894022462793748," 9","dcc","NB","5","0.1","1.5","136385172"
"118","DESeq2",0.58187984496124,414,414,0.501960784313725,0.996600951733515,0.037593984962406,0.725455516273455,"10","dcc","NB","5","0.1","1.5"," 77186875"
"119","voom",0,414,414,0.335748792270531,0.997307485191169,0.0671140939597315,0.905073569390139,"10","dcc","NB","5","0.1","1.5"," 77186875"
"120","edgeR-robust",0,414,414,0.369565217391304,0.997038233710285,0.0670731707317073,0.904223866347207,"10","dcc","NB","5","0.1","1.5"," 77186875"
"121","DESeq2",0.562222222222222,399,399,0.454545454545455,0.998026315789474,0.0254237288135593,0.731519293989562,"11","dcc","NB","5","0.1","1.5"," 43763695"
"122","voom",0,399,399,0.363408521303258,0.995891536565325,0.09375,0.907887014166477,"11","dcc","NB","5","0.1","1.5"," 43763695"
"123","edgeR-robust",0,399,399,0.348370927318296,0.998630512188442,0.0347222222222222,0.907309014799392,"11","dcc","NB","5","0.1","1.5"," 43763695"
"124","DESeq2",0.523995127892814,399,399,0.387218045112782,0.998222748815166,0.0283018867924528,0.742558298065725,"12","dcc","NB","5","0.1","1.5","169908413"
"125","voom",0,399,399,0.295739348370927,0.996762007555316,0.0923076923076923,0.894352043086669,"12","dcc","NB","5","0.1","1.5","169908413"
"126","edgeR-robust",0,399,399,0.298245614035088,0.99784133837021,0.062992125984252,0.891909347031908,"12","dcc","NB","5","0.1","1.5","169908413"
"127","DESeq2",0.543197858359698,400,400,0.485714285714286,0.997495303694427,0.0285714285714286,0.772444729037477,"13","dcc","NB","5","0.1","1.5","146247332"
"128","voom",0,400,400,0.3975,0.995686168778647,0.0914285714285714,0.90267154219466,"13","dcc","NB","5","0.1","1.5","146247332"
"129","edgeR-robust",0,400,400,0.3925,0.998382313291992,0.0368098159509202,0.898529253167969,"13","dcc","NB","5","0.1","1.5","146247332"
"130","DESeq2",0.601010101010101,413,413,0.538461538461538,0.997875354107649,0.0220588235294118,0.7172300759366,"14","dcc","NB","5","0.1","1.5","  5930714"
"131","voom",0,413,413,0.372881355932203,0.998397863818425,0.0375,0.913850590133091,"14","dcc","NB","5","0.1","1.5","  5930714"
