"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"165","edgeR-robust",0,408,408,0.384803921568627,0.99732118939191,0.0598802395209581,0.899531142486462,"25","dcc","NB","5","0.1","1.5","250013908"
"166","DESeq2",0.504122211445199,396,396,0.451851851851852,0.997746478873239,0.0317460317460317,0.751071267936879,"26","dcc","NB","5","0.1","1.5"," 53541061"
"167","voom",0,396,396,0.348484848484849,0.997317596566524,0.0675675675675676,0.900527539341916,"26","dcc","NB","5","0.1","1.5"," 53541061"
"168","edgeR-robust",0,396,396,0.348484848484849,0.997585836909871,0.0612244897959184,0.90073515465817,"26","dcc","NB","5","0.1","1.5"," 53541061"
"169","DESeq2",0.678858814923189,403,403,0.59,0.997314234556849,0.0247933884297521,0.668795553092209,"27","dcc","NB","5","0.1","1.5"," 89344423"
"170","voom",0,403,403,0.367245657568238,0.997566252028123,0.0573248407643312,0.900210965084741,"27","dcc","NB","5","0.1","1.5"," 89344423"
"171","edgeR-robust",0,403,403,0.352357320099256,0.998107084910763,0.0469798657718121,0.899281282753605,"27","dcc","NB","5","0.1","1.5"," 89344423"
"172","DESeq2",0.581536224860674,404,404,0.491228070175439,0.996664442961975,0.0427350427350427,0.687511801139824,"28","dcc","NB","5","0.1","1.5","248395923"
"173","voom",0,404,404,0.309405940594059,0.997045393499866,0.0808823529411765,0.889288354701708,"28","dcc","NB","5","0.1","1.5","248395923"
"174","edgeR-robust",0,404,404,0.314356435643564,0.998656997045393,0.0378787878787879,0.88920956962739,"28","dcc","NB","5","0.1","1.5","248395923"
"175","DESeq2",0.639941334637008,411,411,0.506912442396313,0.995222929936306,0.0517241379310345,0.676709113508939,"29","dcc","NB","5","0.1","1.5"," 68069656"
"176","voom",0,411,411,0.335766423357664,0.996195652173913,0.0921052631578947,0.888552245318948,"29","dcc","NB","5","0.1","1.5"," 68069656"
"177","edgeR-robust",0,411,411,0.321167883211679,0.997010869565217,0.0769230769230769,0.890163506294299,"29","dcc","NB","5","0.1","1.5"," 68069656"
"178","DESeq2",0.581751824817518,413,413,0.502024291497976,1,0,0.714704547434246,"30","dcc","NB","5","0.1","1.5","183001341"
"179","voom",0,413,413,0.353510895883777,0.996754124966189,0.0759493670886076,0.907997519093094,"30","dcc","NB","5","0.1","1.5","183001341"
"180","edgeR-robust",0,413,413,0.348668280871671,0.998106572896943,0.0463576158940397,0.898683311709447,"30","dcc","NB","5","0.1","1.5","183001341"
"181","DESeq2",0.387793232302263,474,474,0.578787878787879,0.997709049255441,0.0304568527918782,0.74127773389644," 1","ciri","NB","5","0.1","1.5","267838020"
